,Sex,Age group,VALUE,REF_DATE,UOM
3818939,Females,25 to 44 years,4072.1,2019-11-01,Persons
3818940,Females,45 to 64 years,3471.3,2019-11-01,Persons
3818941,Females,45 years and over,3814.0,2019-11-01,Persons
3818942,Females,25 to 54 years,5989.9,2019-11-01,Persons
3818943,Females,55 years and over,1896.3,2019-11-01,Persons
3818944,Females,15 to 64 years,8766.0,2019-11-01,Persons
3818945,Females,15 to 19 years,402.4,2019-11-01,Persons
3818946,Females,20 to 24 years,820.2,2019-11-01,Persons
3818947,Females,25 to 29 years,1029.1,2019-11-01,Persons
3818948,Females,30 to 34 years,1010.6,2019-11-01,Persons
3818949,Females,35 to 39 years,1021.7,2019-11-01,Persons
3818950,Females,40 to 44 years,1010.7,2019-11-01,Persons
3818951,Females,45 to 49 years,959.9,2019-11-01,Persons
3818952,Females,50 to 54 years,957.8,2019-11-01,Persons
3818953,Females,55 to 59 years,930.5,2019-11-01,Persons
3818954,Females,60 to 64 years,623.0,2019-11-01,Persons
3818955,Females,65 years and over,342.7,2019-11-01,Persons
3818956,Females,65 to 69 years,226.8,2019-11-01,Persons
3818957,Females,70 years and over,116.0,2019-11-01,Persons
3818958,Both sexes,15 years and over,15378.8,2019-11-01,Persons
3818959,Both sexes,15 to 24 years,1145.3,2019-11-01,Persons
3818960,Both sexes,25 years and over,14233.5,2019-11-01,Persons
3818961,Both sexes,25 to 44 years,7459.6,2019-11-01,Persons
3818962,Both sexes,45 to 64 years,6260.0,2019-11-01,Persons
3818963,Both sexes,45 years and over,6773.9,2019-11-01,Persons
3818964,Both sexes,25 to 54 years,10991.3,2019-11-01,Persons
3818965,Both sexes,55 years and over,3242.2,2019-11-01,Persons
3818966,Both sexes,15 to 64 years,14864.9,2019-11-01,Persons
3818967,Both sexes,15 to 19 years,149.7,2019-11-01,Persons
3818968,Both sexes,20 to 24 years,995.7,2019-11-01,Persons
3818969,Both sexes,25 to 29 years,1824.9,2019-11-01,Persons
3818970,Both sexes,30 to 34 years,1910.3,2019-11-01,Persons
3818971,Both sexes,35 to 39 years,1875.1,2019-11-01,Persons
3818972,Both sexes,40 to 44 years,1849.3,2019-11-01,Persons
3818973,Both sexes,45 to 49 years,1748.1,2019-11-01,Persons
3818974,Both sexes,50 to 54 years,1783.6,2019-11-01,Persons
3818975,Both sexes,55 to 59 years,1654.6,2019-11-01,Persons
3818976,Both sexes,60 to 64 years,1073.6,2019-11-01,Persons
3818977,Both sexes,65 years and over,513.9,2019-11-01,Persons
3818978,Both sexes,65 to 69 years,344.1,2019-11-01,Persons
3818979,Both sexes,70 years and over,169.8,2019-11-01,Persons
3818980,Males,15 years and over,8661.0,2019-11-01,Persons
3818981,Males,15 to 24 years,678.1,2019-11-01,Persons
3818982,Males,25 years and over,7982.8,2019-11-01,Persons
3818983,Males,25 to 44 years,4126.7,2019-11-01,Persons
3818984,Males,45 to 64 years,3500.3,2019-11-01,Persons
3818985,Males,45 years and over,3856.2,2019-11-01,Persons
3818986,Males,25 to 54 years,6063.8,2019-11-01,Persons
3818987,Males,55 years and over,1919.0,2019-11-01,Persons
3818988,Males,15 to 64 years,8305.1,2019-11-01,Persons
3818989,Males,15 to 19 years,103.1,2019-11-01,Persons
3818990,Males,20 to 24 years,575.0,2019-11-01,Persons
3818991,Males,25 to 29 years,974.3,2019-11-01,Persons
3818992,Males,30 to 34 years,1070.4,2019-11-01,Persons
3818993,Males,35 to 39 years,1057.3,2019-11-01,Persons
3818994,Males,40 to 44 years,1024.7,2019-11-01,Persons
3818995,Males,45 to 49 years,952.4,2019-11-01,Persons
3818996,Males,50 to 54 years,984.7,2019-11-01,Persons
3818997,Males,55 to 59 years,932.0,2019-11-01,Persons
3818998,Males,60 to 64 years,631.2,2019-11-01,Persons
3818999,Males,65 years and over,355.8,2019-11-01,Persons
3819000,Males,65 to 69 years,231.7,2019-11-01,Persons
3819001,Males,70 years and over,124.2,2019-11-01,Persons
3819002,Females,15 years and over,6717.8,2019-11-01,Persons
3819003,Females,15 to 24 years,467.2,2019-11-01,Persons
3819004,Females,25 years and over,6250.6,2019-11-01,Persons
3819005,Females,25 to 44 years,3332.9,2019-11-01,Persons
3819006,Females,45 to 64 years,2759.6,2019-11-01,Persons
3819007,Females,45 years and over,2917.7,2019-11-01,Persons
3819008,Females,25 to 54 years,4927.5,2019-11-01,Persons
3819009,Females,55 years and over,1323.1,2019-11-01,Persons
3819010,Females,15 to 64 years,6559.8,2019-11-01,Persons
3819011,Females,15 to 19 years,46.5,2019-11-01,Persons
3819012,Females,20 to 24 years,420.7,2019-11-01,Persons
3819013,Females,25 to 29 years,850.6,2019-11-01,Persons
3819014,Females,30 to 34 years,840.0,2019-11-01,Persons
3819015,Females,35 to 39 years,817.8,2019-11-01,Persons
3819016,Females,40 to 44 years,824.6,2019-11-01,Persons
3819017,Females,45 to 49 years,795.7,2019-11-01,Persons
3819018,Females,50 to 54 years,798.9,2019-11-01,Persons
3819019,Females,55 to 59 years,722.6,2019-11-01,Persons
3819020,Females,60 to 64 years,442.4,2019-11-01,Persons
3819021,Females,65 years and over,158.1,2019-11-01,Persons
3819022,Females,65 to 69 years,112.4,2019-11-01,Persons
3819023,Females,70 years and over,45.7,2019-11-01,Persons
3819024,Both sexes,15 years and over,3724.5,2019-11-01,Persons
3819025,Both sexes,15 to 24 years,1299.5,2019-11-01,Persons
3819026,Both sexes,25 years and over,2425.0,2019-11-01,Persons
3819027,Both sexes,25 to 44 years,1031.2,2019-11-01,Persons
3819028,Both sexes,45 to 64 years,997.4,2019-11-01,Persons
3819029,Both sexes,45 years and over,1393.8,2019-11-01,Persons
3819030,Both sexes,25 to 54 years,1454.5,2019-11-01,Persons
3819031,Both sexes,55 years and over,970.5,2019-11-01,Persons
3819032,Both sexes,15 to 64 years,3328.2,2019-11-01,Persons
3819033,Both sexes,15 to 19 years,642.2,2019-11-01,Persons
3819034,Both sexes,20 to 24 years,657.4,2019-11-01,Persons
3819035,Both sexes,25 to 29 years,288.1,2019-11-01,Persons
3819036,Both sexes,30 to 34 years,236.4,2019-11-01,Persons
3819037,Both sexes,35 to 39 years,274.5,2019-11-01,Persons
3819038,Both sexes,40 to 44 years,232.2,2019-11-01,Persons
3819039,Both sexes,45 to 49 years,206.6,2019-11-01,Persons
3819040,Both sexes,50 to 54 years,216.7,2019-11-01,Persons
3819041,Both sexes,55 to 59 years,284.3,2019-11-01,Persons
3819042,Both sexes,60 to 64 years,289.9,2019-11-01,Persons
3819043,Both sexes,65 years and over,396.4,2019-11-01,Persons
3819044,Both sexes,65 to 69 years,215.2,2019-11-01,Persons
3819045,Both sexes,70 years and over,181.2,2019-11-01,Persons
3819046,Males,15 years and over,1333.7,2019-11-01,Persons
3819047,Males,15 to 24 years,544.2,2019-11-01,Persons
3819048,Males,25 years and over,789.5,2019-11-01,Persons
3819049,Males,25 to 44 years,292.1,2019-11-01,Persons
3819050,Males,45 to 64 years,285.7,2019-11-01,Persons
3819051,Males,45 years and over,497.4,2019-11-01,Persons
3819052,Males,25 to 54 years,392.1,2019-11-01,Persons
3819053,Males,55 years and over,397.4,2019-11-01,Persons
3819054,Males,15 to 64 years,1122.0,2019-11-01,Persons
3819055,Males,15 to 19 years,286.3,2019-11-01,Persons
3819056,Males,20 to 24 years,257.8,2019-11-01,Persons
3819057,Males,25 to 29 years,109.6,2019-11-01,Persons
3819058,Males,30 to 34 years,65.8,2019-11-01,Persons
3819059,Males,35 to 39 years,70.6,2019-11-01,Persons
3819060,Males,40 to 44 years,46.0,2019-11-01,Persons
3819061,Males,45 to 49 years,42.3,2019-11-01,Persons
3819062,Males,50 to 54 years,57.7,2019-11-01,Persons
3819063,Males,55 to 59 years,76.4,2019-11-01,Persons
3819064,Males,60 to 64 years,109.3,2019-11-01,Persons
3819065,Males,65 years and over,211.7,2019-11-01,Persons
3819066,Males,65 to 69 years,100.9,2019-11-01,Persons
3819067,Males,70 years and over,110.8,2019-11-01,Persons
3819068,Females,15 years and over,2390.9,2019-11-01,Persons
3819069,Females,15 to 24 years,755.4,2019-11-01,Persons
3819070,Females,25 years and over,1635.5,2019-11-01,Persons
3819071,Females,25 to 44 years,739.2,2019-11-01,Persons
3819072,Females,45 to 64 years,711.7,2019-11-01,Persons
3819073,Females,45 years and over,896.3,2019-11-01,Persons
3819074,Females,25 to 54 years,1062.4,2019-11-01,Persons
3819075,Females,55 years and over,573.1,2019-11-01,Persons
3819076,Females,15 to 64 years,2206.2,2019-11-01,Persons
3819077,Females,15 to 19 years,355.8,2019-11-01,Persons
3819078,Females,20 to 24 years,399.5,2019-11-01,Persons
3819079,Females,25 to 29 years,178.5,2019-11-01,Persons
3819080,Females,30 to 34 years,170.6,2019-11-01,Persons
3819081,Females,35 to 39 years,203.9,2019-11-01,Persons
3819082,Females,40 to 44 years,186.1,2019-11-01,Persons
3819083,Females,45 to 49 years,164.2,2019-11-01,Persons
3819084,Females,50 to 54 years,159.0,2019-11-01,Persons
3819085,Females,55 to 59 years,207.9,2019-11-01,Persons
3819086,Females,60 to 64 years,180.6,2019-11-01,Persons
3819087,Females,65 years and over,184.7,2019-11-01,Persons
3819088,Females,65 to 69 years,114.3,2019-11-01,Persons
3819089,Females,70 years and over,70.3,2019-11-01,Persons
3819090,Both sexes,15 years and over,1102.8,2019-11-01,Persons
3819091,Both sexes,15 to 24 years,291.9,2019-11-01,Persons
3819092,Both sexes,25 years and over,810.9,2019-11-01,Persons
3819093,Both sexes,25 to 44 years,446.8,2019-11-01,Persons
3819094,Both sexes,45 to 64 years,328.2,2019-11-01,Persons
3819095,Both sexes,45 years and over,364.0,2019-11-01,Persons
3819096,Both sexes,25 to 54 years,606.5,2019-11-01,Persons
3819097,Both sexes,55 years and over,204.4,2019-11-01,Persons
3819098,Both sexes,15 to 64 years,1067.0,2019-11-01,Persons
3819099,Both sexes,15 to 19 years,131.9,2019-11-01,Persons
3819100,Both sexes,20 to 24 years,160.1,2019-11-01,Persons
3819101,Both sexes,25 to 29 years,140.6,2019-11-01,Persons
3819102,Both sexes,30 to 34 years,104.8,2019-11-01,Persons
3819103,Both sexes,35 to 39 years,109.4,2019-11-01,Persons
3819104,Both sexes,40 to 44 years,92.1,2019-11-01,Persons
3819105,Both sexes,45 to 49 years,73.4,2019-11-01,Persons
3819106,Both sexes,50 to 54 years,86.3,2019-11-01,Persons
3819107,Both sexes,55 to 59 years,97.5,2019-11-01,Persons
3819108,Both sexes,60 to 64 years,71.1,2019-11-01,Persons
3819109,Both sexes,65 years and over,35.8,2019-11-01,Persons
3819110,Both sexes,65 to 69 years,25.1,2019-11-01,Persons
3819111,Both sexes,70 years and over,10.8,2019-11-01,Persons
3819112,Males,15 years and over,617.8,2019-11-01,Persons
3819113,Males,15 to 24 years,169.0,2019-11-01,Persons
3819114,Males,25 years and over,448.8,2019-11-01,Persons
3819115,Males,25 to 44 years,253.6,2019-11-01,Persons
3819116,Males,45 to 64 years,175.8,2019-11-01,Persons
3819117,Males,45 years and over,195.2,2019-11-01,Persons
3819118,Males,25 to 54 years,334.5,2019-11-01,Persons
3819119,Males,55 years and over,114.3,2019-11-01,Persons
3819120,Males,15 to 64 years,598.4,2019-11-01,Persons
3819121,Males,15 to 19 years,69.5,2019-11-01,Persons
3819122,Males,20 to 24 years,99.5,2019-11-01,Persons
3819123,Males,25 to 29 years,80.6,2019-11-01,Persons
3819124,Males,30 to 34 years,61.8,2019-11-01,Persons
3819125,Males,35 to 39 years,58.9,2019-11-01,Persons
3819126,Males,40 to 44 years,52.2,2019-11-01,Persons
3819127,Males,45 to 49 years,35.0,2019-11-01,Persons
3819128,Males,50 to 54 years,46.0,2019-11-01,Persons
3819129,Males,55 to 59 years,52.1,2019-11-01,Persons
3819130,Males,60 to 64 years,42.8,2019-11-01,Persons
3819131,Males,65 years and over,19.4,2019-11-01,Persons
3819132,Males,65 to 69 years,15.6,2019-11-01,Persons
3819133,Males,70 years and over,3.8,2019-11-01,Persons
3819134,Females,15 years and over,485.1,2019-11-01,Persons
3819135,Females,15 to 24 years,123.0,2019-11-01,Persons
3819136,Females,25 years and over,362.1,2019-11-01,Persons
3819137,Females,25 to 44 years,193.3,2019-11-01,Persons
3819138,Females,45 to 64 years,152.4,2019-11-01,Persons
3819139,Females,45 years and over,168.8,2019-11-01,Persons
3819140,Females,25 to 54 years,272.0,2019-11-01,Persons
3819141,Females,55 years and over,90.1,2019-11-01,Persons
3819142,Females,15 to 64 years,468.6,2019-11-01,Persons
3819143,Females,15 to 19 years,62.4,2019-11-01,Persons
3819144,Females,20 to 24 years,60.6,2019-11-01,Persons
3819145,Females,25 to 29 years,60.0,2019-11-01,Persons
3819146,Females,30 to 34 years,43.0,2019-11-01,Persons
3819147,Females,35 to 39 years,50.5,2019-11-01,Persons
3819148,Females,40 to 44 years,39.8,2019-11-01,Persons
3819149,Females,45 to 49 years,38.4,2019-11-01,Persons
3819150,Females,50 to 54 years,40.3,2019-11-01,Persons
3819151,Females,55 to 59 years,45.4,2019-11-01,Persons
3819152,Females,60 to 64 years,28.3,2019-11-01,Persons
3819153,Females,65 years and over,16.4,2019-11-01,Persons
3819154,Females,65 to 69 years,9.4,2019-11-01,Persons
3819155,Females,70 years and over,7.0,2019-11-01,Persons
3819156,Both sexes,15 years and over,10726.6,2019-11-01,Persons
3819157,Both sexes,15 to 24 years,1659.6,2019-11-01,Persons
3819158,Both sexes,25 years and over,9067.0,2019-11-01,Persons
3819159,Both sexes,25 to 44 years,1255.7,2019-11-01,Persons
3819160,Both sexes,45 to 64 years,2302.4,2019-11-01,Persons
3819161,Both sexes,45 years and over,7811.3,2019-11-01,Persons
3819162,Both sexes,25 to 54 years,1870.5,2019-11-01,Persons
3819163,Both sexes,55 years and over,7196.5,2019-11-01,Persons
3819164,Both sexes,15 to 64 years,5217.7,2019-11-01,Persons
3819165,Both sexes,15 to 19 years,1087.5,2019-11-01,Persons
3819166,Both sexes,20 to 24 years,572.2,2019-11-01,Persons
3819167,Both sexes,25 to 29 years,364.7,2019-11-01,Persons
3819168,Both sexes,30 to 34 years,337.9,2019-11-01,Persons
3819169,Both sexes,35 to 39 years,290.9,2019-11-01,Persons
3819170,Both sexes,40 to 44 years,262.2,2019-11-01,Persons
3819171,Both sexes,45 to 49 years,268.5,2019-11-01,Persons
3819172,Both sexes,50 to 54 years,346.3,2019-11-01,Persons
3819173,Both sexes,55 to 59 years,647.0,2019-11-01,Persons
3819174,Both sexes,60 to 64 years,1040.6,2019-11-01,Persons
3819175,Both sexes,65 years and over,5508.9,2019-11-01,Persons
3819176,Both sexes,65 to 69 years,1497.3,2019-11-01,Persons
3819177,Both sexes,70 years and over,4011.6,2019-11-01,Persons
3819178,Males,15 years and over,4648.3,2019-11-01,Persons
3819179,Males,15 to 24 years,872.4,2019-11-01,Persons
3819180,Males,25 years and over,3775.9,2019-11-01,Persons
3819181,Males,25 to 44 years,410.6,2019-11-01,Persons
3819182,Males,45 to 64 years,950.4,2019-11-01,Persons
3819183,Males,45 years and over,3365.3,2019-11-01,Persons
3819184,Males,25 to 54 years,646.8,2019-11-01,Persons
3819185,Males,55 years and over,3129.1,2019-11-01,Persons
3819186,Males,15 to 64 years,2233.5,2019-11-01,Persons
3819187,Males,15 to 19 years,574.7,2019-11-01,Persons
3819188,Males,20 to 24 years,297.7,2019-11-01,Persons
3819189,Males,25 to 29 years,156.1,2019-11-01,Persons
3819190,Males,30 to 34 years,87.4,2019-11-01,Persons
3819191,Males,35 to 39 years,91.8,2019-11-01,Persons
3819192,Males,40 to 44 years,75.3,2019-11-01,Persons
3819193,Males,45 to 49 years,101.8,2019-11-01,Persons
3819194,Males,50 to 54 years,134.4,2019-11-01,Persons
3819195,Males,55 to 59 years,275.6,2019-11-01,Persons
3819196,Males,60 to 64 years,438.7,2019-11-01,Persons
3819197,Males,65 years and over,2414.8,2019-11-01,Persons
3819198,Males,65 to 69 years,666.8,2019-11-01,Persons
3819199,Males,70 years and over,1748.0,2019-11-01,Persons
3819200,Females,15 years and over,6078.4,2019-11-01,Persons
3819201,Females,15 to 24 years,787.2,2019-11-01,Persons
3819202,Females,25 years and over,5291.1,2019-11-01,Persons
3819203,Females,25 to 44 years,845.1,2019-11-01,Persons
3819204,Females,45 to 64 years,1352.0,2019-11-01,Persons
3819205,Females,45 years and over,4446.1,2019-11-01,Persons
3819206,Females,25 to 54 years,1223.7,2019-11-01,Persons
3819207,Females,55 years and over,4067.4,2019-11-01,Persons
3819208,Females,15 to 64 years,2984.3,2019-11-01,Persons
